"caption","ownerFullName","ownerUsername","url","commentsCount","firstComment","likesCount","timestamp","queryTag"
"Warning: This lunch might make heading back to work a little harder. 😉

Swing by Monday to Friday, 1–4 PM for our weekday Set Menu starting at Rs.599 (Mumbai) Rs.650 (Delhi) Pick your favourite appetizer and main, and add a drink or dessert if you’re feeling indulgent. Mix, match, and make lunch the highlight of your day.

Call for Reservations: 
Mumbai - 77100 83222
Delhi – 92894 11500

menu Delhi, budget lunch Mumbai, budget lunch Delhi, affordable dining India, Rs 599 lunch deal, Rs 650 lunch deal, casual lunch spot, lunch with drinks

#MonkeyBar #LunchDeals #SetMenuLunch #MumbaiLunchSpots #DelhiLunchSpots","Monkey Bar, India","monkeybarind","https://www.instagram.com/p/DVqp8sXklx_/","1","I can have this everyday 😍. Love the preparations at monkey bar","92","2026-03-09T14:09:02.000Z",
"Colours outside. Comfort inside. 💛
Dig into Aunty Vinnie’s Berry Pulao — sweet bursts, savoury bites, and plates as vibrant as your plans. 🌈🍽️

Call for Reservations:
Mumbai - 77100 83222
Delhi – 92894 11500

#monkeybar #berrypulao #monkeybardishes
#foodie 

Monkey bar, monkey bar dishes,  Aunty Vinnie’s Berry Pulao,  bandra foodie,  vasant kunj foodie.","Monkey Bar, India","monkeybarind","https://www.instagram.com/p/DVf_62TktKW/","0","","47","2026-03-05T10:49:01.000Z",
"Love loud. Dance proud. 🌈
QPOP! By @salvationstar is back at Monkey Bar, bringing the energy, big beats, bold vibes, and a dancefloor that celebrates everyone. 
Join us as @djgauravvarma takes over the decks for a night you won’t want to miss. 🪩

📅 12th March, Thursday
⏰ 9:30 PM onwards
📍 Monkey Bar, Bandra
🎟 Free Entry

Come through, bring the crew, and let the night take over.

#QPOP #LoveLoudDanceProud #PrideParty #MonkeyBarBandra #lgbtqiaevent

Qpop, Salvation Star, bandra, Monkey Bar, mumbai bandra nights, Bandra events, lgbtqia events Bandra, mumbai nightlife, Monkey Bar Mumbai","Monkey Bar, India","monkeybarind","https://www.instagram.com/p/DVs9KunkusW/","1","👏👏","85","2026-03-10T11:35:33.000Z",
"Skip the wait. Join the table.
Evenings begin early at Monkey Bar.

#monkeybarind #monkeybar #vasantkunj #bandra

Monkey Bar, monkey bar cocktails,  bandra restaurants, vasant kunj,  delhi, cocktails,  places to visit in delhi, monkey bar team.","Monkey Bar, India","monkeybarind","https://www.instagram.com/p/DVbEnu2kjpW/","0","","176","2026-03-03T12:55:16.000Z",
"Wing-it Wednesdays are here to put your tolerance to the test! 🌶️

Hot Wings on the grill, Contest adding to the thrill 🔥
We say there’s no way you can finish our Hot Chili Wings. Can you find a way? 😋 

🗓️: 11th March, Wednesday
🕕: 6 PM onwards
Monkey Bar, Museum Road
RSVP: 86554 64500","Monkey Bar, India","monkeybarind","https://www.instagram.com/p/DViSTlpkoQY/","1","on my way!","408","2026-03-06T08:11:18.000Z",
"Here’s to the bold, the fierce, the unstoppable. 🍸
This Women’s Day, we’re raising a toast to every kind of woman — the fearless, the powerful, the unapologetic.

Celebrate your vibe, your story, and your strength with us.
Take our secret quiz and discover your perfect pour.
Your first drink is on us. 🥂

Today | All Day | Monkey Bar

#womensday #MonkeyBarDelhi #monkeybarmumbai #8thmarch 

Monkey Bar,  monkeybar cocktails,  Women’s Day, Women’s Day cocktails, vasant kunj,  bandra, mumbai Women’s Day event,  delhi Women’s Day event, Bandra events, best bar in Bandra, neighbourhood bar","Monkey Bar, India","monkeybarind","https://www.instagram.com/p/DVnQoChkjqy/","0","","178","2026-03-08T06:30:11.000Z",
"Drink Like A Woman!
This Women’s Day Ditch the Menu, Ladies!

Take our secret cocktail quiz let Monkey decide your personality pour. No menu, Just the perfect drink in your hand!

1st one's on us!
8th March Sunday All Day

#monkeybar #womensday #MonkeyBarDelhi #monkeybarmumbai #8thmarch 

Monkey Bar,  monkeybar cocktails,  Women’s Day, Women’s Day cocktails, vasant kunj,  bandra, mumbai Women’s Day event,  delhi Women’s Day event, Bandra events, best bar in Bandra, neighbourhood bar","Monkey Bar, India","monkeybarind","https://www.instagram.com/p/DVdBIBaEk8T/","0","","50","2026-03-04T07:03:18.000Z",
"Ran into your ex.
Survived the week.
Said yes to plans.
Stayed for “just one drink.”

Every situation deserves a drink — and we’ve got one for all of them at Monkey Bar. 🍸

#monkeybarind #MonkeyBarCocktails #monkeybar #monkeybardelhi 

Monkeybar, delhi, vasant kunj,  monkey bar cocktails,  cocktails,  delhi party places.","Monkey Bar, India","monkeybarind","https://www.instagram.com/p/DVvkSIoEmwh/","0","","144","2026-03-11T11:55:43.000Z",
"The beats were loud, the energy louder.
Eyemyth Audio Riot brought together experimental sound, powerful sets, and a night at Monkey Bar Delhi unforgettable 🔊

Shoutout to Elijah, Kreon, Spryk, and Norbu for bringing the house down!

#MonkeyBarDelhi #monkeybar #Delhi #vasantkunj 

Monkey Bar,  Vasant Kunj,  delhi,  monkey bar Vasant Kunj,  delhi party vibe,  delhi night life, delhi nights .","Monkey Bar, India","monkeybarind","https://www.instagram.com/p/DV0pN6Hkn3E/","0","","2","2026-03-13T11:16:22.000Z",
"Chef @taiyabaali has a deep-rooted connection to Lucknowi cuisine. 
For our next Supper, she’s exploring this through her personal take on classic recipes. 🥘

The menu, Songs of Spring, brings you the best of what the season and remanents of winter have to offer.

Join us for a feast paired with curated cocktails and end the afternoon with a delicious dessert featuring a handcrafted @nicicecreams flavour. 🍨

Book your tickets from the link in bio on @scenesonswiggy!

🗓️ 14th March
⏰ 12:30pm onwards
📍 @monkeybarind, Vasant Kunj","Servd Delhi NCR","delhi.servd","https://www.instagram.com/p/DVYzhggiO_j/","2","The link doesn’t work, could you check","199","2026-03-02T15:45:58.000Z",
